interaction,user_id,week,timestamp,topic,question_id,question_topic,difficulty,time_spent_s,avg_time_all_users_s,correct
33,user_progressive,3,2026-01-15 15:37:57,Calculus,Q24781,Improper Integrals,4,84.82,108,1
34,user_progressive,3,2026-01-16 02:17:10,Calculus,Q93743,Improper Integrals,3,160.82,143,1
35,user_progressive,3,2026-01-16 15:37:32,Calculus,Q63981,Improper Integrals,4,175.06,161,1
36,user_progressive,3,2026-01-16 17:37:26,Calculus,Q61320,Improper Integrals,3,291.56,204,1
37,user_progressive,3,2026-01-17 07:26:29,Calculus,Q36261,Improper Integrals,4,228.8,185,1
38,user_progressive,3,2026-01-17 16:02:38,Calculus,Q48418,Improper Integrals,3,227.95,156,1
39,user_progressive,3,2026-01-17 23:03:50,Calculus,Q15258,Improper Integrals,3,160.9,176,0
40,user_progressive,3,2026-01-18 00:21:21,Calculus,Q81054,Improper Integrals,4,89.09,120,1
41,user_progressive,3,2026-01-18 11:59:21,Calculus,Q52190,Improper Integrals,3,115.65,137,0
42,user_progressive,3,2026-01-20 17:03:55,Calculus,Q96371,Improper Integrals,5,229,193,1
43,user_progressive,3,2026-01-21 06:58:12,Calculus,Q24771,Improper Integrals,3,162.46,178,1
44,user_progressive,3,2026-01-21 08:12:25,Calculus,Q80002,Improper Integrals,4,131.55,111,0
45,user_progressive,3,2026-01-21 08:51:13,Calculus,Q37463,Improper Integrals,3,140.16,158,0
46,user_progressive,3,2026-01-21 18:43:10,Calculus,Q89311,Improper Integrals,5,197.89,166,0
47,user_progressive,3,2026-01-21 20:48:16,Calculus,Q21574,Improper Integrals,3,147.13,108,1
48,user_progressive,3,2026-01-22 01:49:09,Calculus,Q64237,Improper Integrals,5,185.03,180,1
49,user_progressive,4,2026-01-22 18:14:09,Calculus,Q84775,Improper Integrals,3,121.55,109,1
50,user_progressive,4,2026-01-22 20:09:07,Calculus,Q17177,Improper Integrals,4,230.28,182,1
51,user_progressive,4,2026-01-23 00:32:06,Calculus,Q17432,Improper Integrals,4,230.53,152,1
52,user_progressive,4,2026-01-23 15:14:39,Calculus,Q13906,Improper Integrals,4,160.93,141,0
53,user_progressive,4,2026-01-23 15:21:04,Calculus,Q99361,Improper Integrals,4,79.48,93,1
54,user_progressive,4,2026-01-23 21:33:28,Calculus,Q43529,Improper Integrals,4,192.07,150,1
55,user_progressive,4,2026-01-24 08:03:30,Calculus,Q14098,Improper Integrals,4,170.6,132,0
56,user_progressive,4,2026-01-24 15:35:17,Calculus,Q71226,Improper Integrals,5,230.66,205,0
57,user_progressive,4,2026-01-25 02:41:43,Calculus,Q53748,Improper Integrals,5,210.43,200,1
58,user_progressive,4,2026-01-25 05:06:19,Calculus,Q87959,Improper Integrals,3,180.81,201,1
59,user_progressive,4,2026-01-26 09:20:43,Calculus,Q82385,Improper Integrals,4,152.1,144,0
60,user_progressive,4,2026-01-27 16:50:08,Calculus,Q50808,Improper Integrals,3,238.2,207,1
61,user_progressive,4,2026-01-27 21:07:31,Calculus,Q59897,Improper Integrals,5,120.43,97,0
62,user_progressive,4,2026-01-28 03:03:58,Calculus,Q19127,Improper Integrals,5,198.05,209,0
63,user_progressive,4,2026-01-28 12:00:39,Calculus,Q41471,Improper Integrals,4,234.72,187,0
64,user_progressive,4,2026-01-28 18:17:02,Calculus,Q72411,Improper Integrals,4,159.16,148,1
65,user_progressive,5,2026-01-29 21:18:42,Calculus,Q70455,Improper Integrals,4,185.37,160,1
66,user_progressive,5,2026-01-30 11:18:19,Calculus,Q24796,Improper Integrals,4,316.8,198,1
67,user_progressive,5,2026-01-30 12:22:24,Calculus,Q93794,Improper Integrals,4,118.34,98,0
68,user_progressive,5,2026-01-31 03:59:11,Calculus,Q65450,Improper Integrals,4,193.16,160,0
69,user_progressive,5,2026-01-31 08:47:25,Calculus,Q70413,Improper Integrals,3,107.07,103,0
70,user_progressive,5,2026-01-31 09:11:07,Calculus,Q96468,Improper Integrals,3,273.28,204,1
71,user_progressive,5,2026-01-31 13:24:00,Calculus,Q73589,Improper Integrals,5,90.71,96,0
72,user_progressive,5,2026-01-31 21:52:56,Calculus,Q88596,Improper Integrals,4,128.01,132,1
73,user_progressive,5,2026-02-02 18:12:27,Calculus,Q65727,Improper Integrals,3,96.46,93,1
74,user_progressive,5,2026-02-03 05:57:10,Calculus,Q97266,Improper Integrals,4,103.14,110,1
75,user_progressive,5,2026-02-03 16:46:50,Calculus,Q55094,Improper Integrals,5,232.53,205,1
76,user_progressive,5,2026-02-03 19:53:00,Calculus,Q46641,Improper Integrals,3,160.56,130,1
77,user_progressive,5,2026-02-03 21:48:51,Calculus,Q21179,Improper Integrals,5,124.93,190,0
78,user_progressive,5,2026-02-04 07:17:28,Calculus,Q21768,Improper Integrals,4,117.41,113,0
79,user_progressive,5,2026-02-04 09:47:32,Calculus,Q69390,Improper Integrals,3,176.5,177,1
80,user_progressive,5,2026-02-04 19:52:13,Calculus,Q90744,Improper Integrals,3,116.07,154,1
81,user_progressive,6,2026-02-05 17:00:17,Calculus,Q89464,Improper Integrals,3,141.61,115,0
82,user_progressive,6,2026-02-05 18:57:57,Calculus,Q15917,Improper Integrals,4,104.49,115,1
83,user_progressive,6,2026-02-05 22:37:34,Calculus,Q29815,Improper Integrals,4,119.21,120,1
84,user_progressive,6,2026-02-06 15:36:30,Calculus,Q89133,Improper Integrals,4,313.42,204,0
85,user_progressive,6,2026-02-06 19:06:32,Calculus,Q20596,Improper Integrals,3,194,195,1
86,user_progressive,6,2026-02-07 02:07:55,Calculus,Q79928,Improper Integrals,4,131.24,120,1
87,user_progressive,6,2026-02-08 23:06:00,Calculus,Q33867,Improper Integrals,5,262.11,195,0
88,user_progressive,6,2026-02-09 05:08:04,Calculus,Q66132,Improper Integrals,5,141.42,149,0
89,user_progressive,6,2026-02-09 08:19:09,Calculus,Q31366,Improper Integrals,5,221.05,174,1
90,user_progressive,6,2026-02-09 10:46:10,Calculus,Q69434,Improper Integrals,5,210.08,174,1
91,user_progressive,6,2026-02-09 19:24:10,Calculus,Q56628,Improper Integrals,4,239.44,191,1
92,user_progressive,6,2026-02-10 16:39:03,Calculus,Q94356,Improper Integrals,5,232.2,189,1
93,user_progressive,6,2026-02-10 20:39:32,Calculus,Q95506,Improper Integrals,4,168.46,171,0
94,user_progressive,6,2026-02-11 06:52:05,Calculus,Q24476,Improper Integrals,5,135.02,139,1
95,user_progressive,6,2026-02-11 14:45:58,Calculus,Q28684,Improper Integrals,4,111.83,144,0
96,user_progressive,6,2026-02-11 22:32:17,Calculus,Q30410,Improper Integrals,5,144.66,205,0
97,user_progressive,7,2026-02-12 16:10:58,Calculus,Q89481,Improper Integrals,3,131.09,115,1
98,user_progressive,7,2026-02-13 14:49:28,Calculus,Q52293,Improper Integrals,5,234.58,183,1
99,user_progressive,7,2026-02-13 15:46:52,Calculus,Q13396,Improper Integrals,3,153.79,160,1
100,user_progressive,7,2026-02-14 07:15:08,Calculus,Q79916,Improper Integrals,3,149.87,157,1
101,user_progressive,7,2026-02-14 07:32:55,Calculus,Q71522,Improper Integrals,4,181.46,173,0
102,user_progressive,7,2026-02-14 11:40:02,Calculus,Q31021,Improper Integrals,4,148.4,185,1
103,user_progressive,7,2026-02-14 16:48:11,Calculus,Q12929,Improper Integrals,5,152.42,109,1
104,user_progressive,7,2026-02-16 03:04:29,Calculus,Q94316,Improper Integrals,4,114.71,138,0
105,user_progressive,7,2026-02-16 13:30:13,Calculus,Q63992,Improper Integrals,5,205.86,148,0
106,user_progressive,7,2026-02-16 18:41:51,Calculus,Q37311,Improper Integrals,3,108.87,105,1
107,user_progressive,7,2026-02-16 20:13:30,Calculus,Q85242,Improper Integrals,5,161.29,169,1
108,user_progressive,7,2026-02-16 23:20:28,Calculus,Q19862,Improper Integrals,5,147.39,168,0
109,user_progressive,7,2026-02-17 18:41:32,Calculus,Q15600,Improper Integrals,4,178.48,185,0
110,user_progressive,7,2026-02-17 20:42:28,Calculus,Q29116,Improper Integrals,4,168.12,148,1
111,user_progressive,7,2026-02-18 14:40:43,Calculus,Q59902,Improper Integrals,3,159.56,133,1
112,user_progressive,7,2026-02-19 08:37:56,Calculus,Q68669,Improper Integrals,5,156.44,132,1
113,user_progressive,8,2026-02-19 11:32:14,Calculus,Q34605,Improper Integrals,3,300.38,205,0
114,user_progressive,8,2026-02-19 23:24:25,Calculus,Q54325,Improper Integrals,3,189.83,167,0
115,user_progressive,8,2026-02-19 23:25:34,Calculus,Q40930,Improper Integrals,5,100.58,97,0
116,user_progressive,8,2026-02-20 00:31:55,Calculus,Q80616,Improper Integrals,4,70.64,96,1
117,user_progressive,8,2026-02-20 06:01:59,Calculus,Q88747,Improper Integrals,3,142.47,172,1
118,user_progressive,8,2026-02-20 06:17:57,Calculus,Q15419,Improper Integrals,3,128.08,112,1
119,user_progressive,8,2026-02-20 06:24:08,Calculus,Q50464,Improper Integrals,5,77.21,94,1
120,user_progressive,8,2026-02-21 16:26:31,Calculus,Q37725,Improper Integrals,3,104.64,135,0
121,user_progressive,8,2026-02-21 19:59:15,Calculus,Q62833,Improper Integrals,5,159.35,169,1
122,user_progressive,8,2026-02-22 05:49:40,Calculus,Q36880,Improper Integrals,4,141.87,181,1
123,user_progressive,8,2026-02-22 14:22:49,Calculus,Q70715,Improper Integrals,5,119.26,108,1
124,user_progressive,8,2026-02-22 19:06:42,Calculus,Q68422,Improper Integrals,5,156.22,189,0
125,user_progressive,8,2026-02-24 04:30:26,Calculus,Q19472,Improper Integrals,4,150.49,133,1
126,user_progressive,8,2026-02-24 05:35:27,Calculus,Q59225,Improper Integrals,3,224.98,172,1
127,user_progressive,8,2026-02-24 12:32:39,Calculus,Q64091,Improper Integrals,4,201.95,192,1
128,user_progressive,8,2026-02-25 16:44:23,Calculus,Q93461,Improper Integrals,3,229.32,194,0
129,user_progressive,9,2026-02-26 13:57:25,Calculus,Q25469,Improper Integrals,5,143.84,147,1
130,user_progressive,9,2026-02-26 21:41:41,Calculus,Q34920,Improper Integrals,5,95.24,92,0
131,user_progressive,9,2026-02-27 08:46:01,Calculus,Q80470,Improper Integrals,5,128.72,133,1
132,user_progressive,9,2026-02-27 22:18:59,Calculus,Q38980,Improper Integrals,5,170.84,146,0
133,user_progressive,9,2026-02-28 13:51:21,Calculus,Q77648,Improper Integrals,5,178.4,192,1
134,user_progressive,9,2026-03-01 08:11:19,Calculus,Q11379,Improper Integrals,5,154.51,195,1
135,user_progressive,9,2026-03-01 15:46:08,Calculus,Q84567,Improper Integrals,4,190.2,159,1
136,user_progressive,9,2026-03-02 02:41:07,Calculus,Q30437,Improper Integrals,4,194.27,209,0
137,user_progressive,9,2026-03-02 04:15:17,Calculus,Q53770,Improper Integrals,5,168.35,173,1
138,user_progressive,9,2026-03-02 11:04:40,Calculus,Q43988,Improper Integrals,4,93.23,125,1
139,user_progressive,9,2026-03-03 05:04:39,Calculus,Q82821,Improper Integrals,3,130.29,124,1
140,user_progressive,9,2026-03-04 04:48:09,Calculus,Q66817,Improper Integrals,4,164.05,153,1
141,user_progressive,9,2026-03-04 04:51:13,Calculus,Q28522,Improper Integrals,4,99.12,114,0
142,user_progressive,9,2026-03-04 16:38:24,Calculus,Q44220,Improper Integrals,3,126.81,132,1
143,user_progressive,9,2026-03-04 19:05:28,Calculus,Q55342,Improper Integrals,3,224.82,189,0
144,user_progressive,9,2026-03-04 23:49:44,Calculus,Q52150,Improper Integrals,4,103.19,106,1
145,user_progressive,10,2026-03-06 07:10:59,Calculus,Q26426,Improper Integrals,5,184.54,204,0
146,user_progressive,10,2026-03-06 15:43:06,Calculus,Q58905,Improper Integrals,3,149.35,167,0
147,user_progressive,10,2026-03-06 18:29:24,Calculus,Q79813,Improper Integrals,4,132.45,97,0
148,user_progressive,10,2026-03-07 05:08:00,Calculus,Q45415,Improper Integrals,3,67.1,122,0
149,user_progressive,10,2026-03-07 08:49:28,Calculus,Q54156,Improper Integrals,5,85.85,131,0
150,user_progressive,10,2026-03-08 08:42:26,Calculus,Q18042,Improper Integrals,4,148.65,143,1
151,user_progressive,10,2026-03-08 11:49:07,Calculus,Q37947,Improper Integrals,3,71.07,124,0
152,user_progressive,10,2026-03-08 14:37:53,Calculus,Q95078,Improper Integrals,4,242.03,208,1
153,user_progressive,10,2026-03-09 07:49:36,Calculus,Q35490,Improper Integrals,3,132.88,140,1
154,user_progressive,10,2026-03-09 15:28:09,Calculus,Q55634,Improper Integrals,4,112.61,121,1
155,user_progressive,10,2026-03-10 00:56:12,Calculus,Q52052,Improper Integrals,4,95.66,99,1
156,user_progressive,10,2026-03-11 00:01:58,Calculus,Q11358,Improper Integrals,5,219.8,202,1
157,user_progressive,10,2026-03-11 06:07:41,Calculus,Q93769,Improper Integrals,4,85.84,99,0
158,user_progressive,10,2026-03-11 06:40:16,Calculus,Q60594,Improper Integrals,4,135.85,140,1
159,user_progressive,10,2026-03-11 07:10:27,Calculus,Q39626,Improper Integrals,5,213.59,199,1
160,user_progressive,10,2026-03-11 11:23:23,Calculus,Q49784,Improper Integrals,4,116.37,127,1
161,user_progressive,11,2026-03-12 12:13:07,Calculus,Q43171,Improper Integrals,4,128.33,189,1
162,user_progressive,11,2026-03-12 21:00:37,Calculus,Q50124,Improper Integrals,5,123.03,147,0
163,user_progressive,11,2026-03-13 13:51:13,Calculus,Q16521,Improper Integrals,4,126.93,123,0
164,user_progressive,11,2026-03-13 15:34:54,Calculus,Q64096,Improper Integrals,3,145.09,191,1
165,user_progressive,11,2026-03-14 03:46:17,Calculus,Q55859,Improper Integrals,4,163.32,151,1
166,user_progressive,11,2026-03-14 04:01:11,Calculus,Q51428,Improper Integrals,4,168.14,197,1
167,user_progressive,11,2026-03-15 05:40:41,Calculus,Q90797,Improper Integrals,5,86.55,99,1
168,user_progressive,11,2026-03-15 05:53:06,Calculus,Q42922,Improper Integrals,3,172.42,198,1
169,user_progressive,11,2026-03-15 18:24:01,Calculus,Q87225,Improper Integrals,5,141.49,129,0
170,user_progressive,11,2026-03-15 21:05:30,Calculus,Q33586,Improper Integrals,5,126.57,137,1
171,user_progressive,11,2026-03-15 21:10:17,Calculus,Q15909,Improper Integrals,5,95.8,103,1
172,user_progressive,11,2026-03-16 04:00:10,Calculus,Q59458,Improper Integrals,5,161.13,189,1
173,user_progressive,11,2026-03-16 05:56:13,Calculus,Q81770,Improper Integrals,3,91.86,115,0
174,user_progressive,11,2026-03-17 00:06:03,Calculus,Q13472,Improper Integrals,5,106.35,96,1
175,user_progressive,11,2026-03-18 00:07:55,Calculus,Q30902,Improper Integrals,3,171.22,182,0
176,user_progressive,11,2026-03-18 23:14:32,Calculus,Q69852,Improper Integrals,3,216.59,192,1
177,user_progressive,12,2026-03-19 15:56:10,Calculus,Q72101,Improper Integrals,3,109.82,112,0
178,user_progressive,12,2026-03-19 20:07:04,Calculus,Q22081,Improper Integrals,4,206.99,181,1
179,user_progressive,12,2026-03-20 12:23:00,Calculus,Q92352,Improper Integrals,5,132.35,166,1
180,user_progressive,12,2026-03-21 06:29:34,Calculus,Q63343,Improper Integrals,3,150.41,131,0
181,user_progressive,12,2026-03-21 15:58:48,Calculus,Q21279,Improper Integrals,4,66.92,94,1
182,user_progressive,12,2026-03-21 16:41:08,Calculus,Q51316,Improper Integrals,4,91.91,109,0
183,user_progressive,12,2026-03-21 17:07:54,Calculus,Q38494,Improper Integrals,5,84.91,135,0
184,user_progressive,12,2026-03-22 00:37:40,Calculus,Q68511,Improper Integrals,5,163.68,145,1
185,user_progressive,12,2026-03-22 04:14:46,Calculus,Q49203,Improper Integrals,3,147.95,149,0
186,user_progressive,12,2026-03-22 18:04:13,Calculus,Q24754,Improper Integrals,3,195.9,194,1
187,user_progressive,12,2026-03-23 17:00:12,Calculus,Q27245,Improper Integrals,3,139.81,191,1
188,user_progressive,12,2026-03-24 06:37:39,Calculus,Q93654,Improper Integrals,4,104.39,99,1
189,user_progressive,12,2026-03-24 12:10:12,Calculus,Q81476,Improper Integrals,5,54.45,99,1
190,user_progressive,12,2026-03-24 13:20:57,Calculus,Q66749,Improper Integrals,4,126.52,106,1
191,user_progressive,12,2026-03-24 16:14:14,Calculus,Q74010,Improper Integrals,3,232.01,191,0
192,user_progressive,12,2026-03-24 23:33:24,Calculus,Q29212,Improper Integrals,5,104.35,125,1
193,user_progressive,13,2026-03-27 02:53:22,Calculus,Q15305,Improper Integrals,4,137.19,152,0
194,user_progressive,13,2026-03-27 04:37:52,Calculus,Q29613,Improper Integrals,5,82.75,111,1
195,user_progressive,13,2026-03-27 16:33:02,Calculus,Q98837,Improper Integrals,4,181.86,187,1
196,user_progressive,13,2026-03-28 09:55:07,Calculus,Q73528,Improper Integrals,4,136.57,152,0
197,user_progressive,13,2026-03-28 18:19:54,Calculus,Q39752,Improper Integrals,3,170.35,174,0
198,user_progressive,13,2026-03-29 00:17:00,Calculus,Q84594,Improper Integrals,3,73.64,122,1
199,user_progressive,13,2026-03-29 01:32:56,Calculus,Q97753,Improper Integrals,4,107.25,115,1
200,user_progressive,13,2026-03-29 03:55:25,Calculus,Q83574,Improper Integrals,4,88.23,133,1
201,user_progressive,13,2026-03-29 23:05:43,Calculus,Q72882,Improper Integrals,5,81.29,100,0
202,user_progressive,13,2026-03-30 13:52:22,Calculus,Q55830,Improper Integrals,3,123.13,148,1
203,user_progressive,13,2026-03-30 23:32:26,Calculus,Q26032,Improper Integrals,4,122,164,1
204,user_progressive,13,2026-03-31 04:21:31,Calculus,Q61770,Improper Integrals,3,118.8,138,0
205,user_progressive,13,2026-03-31 18:41:23,Calculus,Q31753,Improper Integrals,5,212.64,209,1
206,user_progressive,13,2026-03-31 18:48:00,Calculus,Q23249,Improper Integrals,4,75.86,96,1
207,user_progressive,13,2026-04-01 03:42:41,Calculus,Q78987,Improper Integrals,4,117.35,154,0
208,user_progressive,13,2026-04-02 01:12:31,Calculus,Q83831,Improper Integrals,4,111.65,121,0
209,user_progressive,14,2026-04-03 03:22:18,Calculus,Q86974,Improper Integrals,4,167.16,186,1
210,user_progressive,14,2026-04-03 14:32:14,Calculus,Q32307,Improper Integrals,4,79.17,100,0
211,user_progressive,14,2026-04-03 22:40:55,Calculus,Q65740,Improper Integrals,4,147.27,180,1
212,user_progressive,14,2026-04-04 01:46:37,Calculus,Q48780,Improper Integrals,4,118.84,170,0
213,user_progressive,14,2026-04-04 13:49:36,Calculus,Q77822,Improper Integrals,5,116.2,115,0
214,user_progressive,14,2026-04-05 00:18:48,Calculus,Q26970,Improper Integrals,4,95.79,105,0
215,user_progressive,14,2026-04-05 05:49:15,Calculus,Q84385,Improper Integrals,3,128.55,143,1
216,user_progressive,14,2026-04-05 12:41:08,Calculus,Q32484,Improper Integrals,4,168.49,186,1
217,user_progressive,14,2026-04-05 15:34:03,Calculus,Q24659,Improper Integrals,5,146.37,147,1
218,user_progressive,14,2026-04-06 07:36:48,Calculus,Q98016,Improper Integrals,3,161.48,198,1
219,user_progressive,14,2026-04-07 23:47:26,Calculus,Q29943,Improper Integrals,3,158.1,171,1
220,user_progressive,14,2026-04-08 03:35:41,Calculus,Q77954,Improper Integrals,4,151.48,149,1
221,user_progressive,14,2026-04-08 11:48:17,Calculus,Q85104,Improper Integrals,5,156.87,183,1
222,user_progressive,14,2026-04-08 13:30:35,Calculus,Q55692,Improper Integrals,5,146.6,187,1
223,user_progressive,14,2026-04-08 17:02:35,Calculus,Q53510,Improper Integrals,3,88.3,91,1
224,user_progressive,14,2026-04-08 17:26:53,Calculus,Q78716,Improper Integrals,4,76.86,97,0
225,user_progressive,15,2026-04-10 10:39:24,Calculus,Q43358,Improper Integrals,5,103.65,133,1
226,user_progressive,15,2026-04-10 20:06:58,Calculus,Q96021,Improper Integrals,3,146.06,197,0
227,user_progressive,15,2026-04-10 20:22:38,Calculus,Q47610,Improper Integrals,4,154.29,139,0
228,user_progressive,15,2026-04-11 02:24:01,Calculus,Q25223,Improper Integrals,3,187.34,200,1
229,user_progressive,15,2026-04-11 09:13:35,Calculus,Q90054,Improper Integrals,4,74.37,116,1
230,user_progressive,15,2026-04-11 17:56:52,Calculus,Q97544,Improper Integrals,4,51.7,94,1
231,user_progressive,15,2026-04-11 20:24:28,Calculus,Q49861,Improper Integrals,3,126.71,133,0
232,user_progressive,15,2026-04-12 03:32:28,Calculus,Q53512,Improper Integrals,4,100.36,119,1
233,user_progressive,15,2026-04-12 13:15:05,Calculus,Q49493,Improper Integrals,4,101.42,150,0
234,user_progressive,15,2026-04-12 18:04:25,Calculus,Q22251,Improper Integrals,4,185.26,204,1
235,user_progressive,15,2026-04-13 01:00:27,Calculus,Q75929,Improper Integrals,4,133.44,133,1
236,user_progressive,15,2026-04-13 07:55:58,Calculus,Q91052,Improper Integrals,3,109.11,123,1
237,user_progressive,15,2026-04-13 09:20:03,Calculus,Q56505,Improper Integrals,5,165.48,194,0
238,user_progressive,15,2026-04-13 22:54:44,Calculus,Q30057,Improper Integrals,4,151.41,205,1
239,user_progressive,15,2026-04-14 19:04:49,Calculus,Q44280,Improper Integrals,4,116.86,171,0
240,user_progressive,15,2026-04-15 07:41:33,Calculus,Q31438,Improper Integrals,4,107.49,104,1
241,user_progressive,16,2026-04-17 17:31:20,Calculus,Q31680,Improper Integrals,4,148.46,188,1
242,user_progressive,16,2026-04-18 13:18:05,Calculus,Q58177,Improper Integrals,4,92.18,126,0
243,user_progressive,16,2026-04-19 06:12:48,Calculus,Q24602,Improper Integrals,3,90.1,128,1
244,user_progressive,16,2026-04-19 16:19:29,Calculus,Q52216,Improper Integrals,3,168.91,176,0
245,user_progressive,16,2026-04-19 18:58:33,Calculus,Q79012,Improper Integrals,5,127.99,152,1
246,user_progressive,16,2026-04-20 01:29:04,Calculus,Q13731,Improper Integrals,5,83.97,94,1
247,user_progressive,16,2026-04-20 04:52:53,Calculus,Q28534,Improper Integrals,3,82.58,107,0
248,user_progressive,16,2026-04-20 05:47:39,Calculus,Q38904,Improper Integrals,4,65.52,100,1
249,user_progressive,16,2026-04-21 05:04:46,Calculus,Q84577,Improper Integrals,5,133.24,161,0
250,user_progressive,16,2026-04-22 00:35:31,Calculus,Q27056,Improper Integrals,4,86.04,155,0
251,user_progressive,16,2026-04-22 04:59:24,Calculus,Q67807,Improper Integrals,5,168.16,167,0
252,user_progressive,16,2026-04-22 11:30:58,Calculus,Q74616,Improper Integrals,3,100.58,121,0
253,user_progressive,16,2026-04-22 18:18:42,Calculus,Q71210,Improper Integrals,4,81.19,93,1
254,user_progressive,16,2026-04-22 22:18:04,Calculus,Q63096,Improper Integrals,5,70.49,95,1
255,user_progressive,16,2026-04-22 22:44:54,Calculus,Q17078,Improper Integrals,4,72,103,1
256,user_progressive,16,2026-04-23 02:23:50,Calculus,Q35087,Improper Integrals,4,66.54,113,1
257,user_progressive,1,2026-01-01 22:46:19,Calculus,Q58210,Lagrange Multipliers,5,248,155,0
258,user_progressive,1,2026-01-02 12:59:09,Calculus,Q84419,Lagrange Multipliers,4,271.8,191,1
259,user_progressive,1,2026-01-03 09:14:16,Calculus,Q46367,Lagrange Multipliers,3,270.27,205,0
260,user_progressive,1,2026-01-03 15:02:52,Calculus,Q22946,Lagrange Multipliers,5,125.09,95,1
261,user_progressive,1,2026-01-03 18:19:14,Calculus,Q32955,Lagrange Multipliers,4,112.18,97,1
262,user_progressive,1,2026-01-03 20:33:38,Calculus,Q68067,Lagrange Multipliers,3,130.8,111,1
263,user_progressive,1,2026-01-03 22:04:07,Calculus,Q16636,Lagrange Multipliers,4,142.67,111,0
264,user_progressive,1,2026-01-04 06:27:39,Calculus,Q18000,Lagrange Multipliers,5,111.97,111,0
265,user_progressive,1,2026-01-04 12:58:49,Calculus,Q12174,Lagrange Multipliers,5,269.58,195,0
266,user_progressive,1,2026-01-05 06:17:49,Calculus,Q51578,Lagrange Multipliers,4,171.46,125,0
267,user_progressive,1,2026-01-06 09:36:40,Calculus,Q49013,Lagrange Multipliers,5,105.5,102,0
268,user_progressive,1,2026-01-06 22:28:56,Calculus,Q59396,Lagrange Multipliers,3,185.31,190,0
269,user_progressive,1,2026-01-07 04:58:54,Calculus,Q30001,Lagrange Multipliers,3,128.35,156,1
270,user_progressive,1,2026-01-07 11:47:42,Calculus,Q56595,Lagrange Multipliers,5,128.61,127,0
271,user_progressive,1,2026-01-07 13:51:00,Calculus,Q58571,Lagrange Multipliers,3,313.28,196,0
